N,best P for naive algorithm,best P for enhanced algorithm
10000,3,8
20000,4,16
50000,7,32
100000,10,64
200000,14,128
500000,22,256
1000000,32,512
2000000,45,1024
5000000,71,4096
10000000,100,8191
20000000,141,16381
50000000,223,32766
100000000,316,65531
200000000,447,131062
500000000,707,262055
