#header line: GPU processors,avg,error_bar,run1,run2,run3
4,25.763913276666667,0.04026305999999735,25.75981763,25.74582957,25.78609263
8,25.96554958333333,0.3091527499999991,25.80243111,25.98263378,26.11158386
12,26.025467730000003,0.10979561999999987,25.95253839,26.06153079,26.06233401
16,26.237223080000003,0.03715043000000051,26.22542481,26.224547,26.26169743
20,26.55474802333333,0.1491472399999978,26.52937019,26.64201056,26.49286332
24,27.423716823333336,1.2204031999999998,27.72605163,27.88275102,26.66234782
28,29.586214766666668,1.61697457,29.11926005,29.01120484,30.62817941
32,29.324605933333334,0.07480084000000176,29.31370322,29.36745771,29.29265687
36,29.837791853333332,1.0391955899999985,29.54375135,30.5044099,29.46521431
40,30.49085472333333,0.8438019900000029,30.10597184,30.4168185,30.94977383
44,31.890137099999993,2.026866699999996,32.66388401,30.63701731,32.36950998
48,31.051127046666664,0.10675726999999924,31.11975261,31.01299534,31.02063319
